StudentID,Q1_Favorite_Subjects,Q2_Enjoyed_Activities,Q3_Strongest_Skills,Q4_Work_Style,Q5_Workplace_Preference,Q6_Exam_Readiness,Q7_Location_Preference,Q8_Career_Values,Q9_LongTerm_Goal,Q10_Academic_Background,Recommended_Course,Recommended_Career,Recommended_College_Type,Recommendation_Score
S00567,"Biology, Computer Science","Solving Puzzles, Reading","Analysis, Programming",Theoretical,Government Office,No,Abroad,Job Security,Entrepreneur,Science-66%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00568,"Physics, Maths","Solving Puzzles, Coding","Writing, Leadership",Practical,Startup,Yes,Abroad,Job Security,Designer,Science-62%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.75
S00569,"Accountancy, Business Studies","Research, Organizing Events","Communication, Programming",Theoretical,Corporate Office,No,Abroad,Creativity & Freedom,Scientist,Arts-92%,B.Com,Accountant,Tier-1,0.95
S00570,"Business Studies, Maths","Experiments, Reading","Presentation, Analysis",Practical,NGO,Yes,Flexible,Balanced,Designer,Arts-86%,B.Tech Civil,Civil Engineer,Tier-1,0.9
S00571,"Chemistry, Biology","Research, Reading","Leadership, Research",Theoretical,Corporate Office,No,India,Balanced,Entrepreneur,Science-97%,Diploma in IT,IT Support/Technician,Tier-2,0.98
S00572,"Accountancy, Computer Science","Experiments, Solving Puzzles","Teamwork, Financial Analysis",Theoretical,Creative Studio,No,Flexible,Job Security,Data Scientist,Arts-48%,BBA,Business Analyst,Tier-2,0.74
S00573,"Psychology, Design","Reading, Debating","Teamwork, Creativity",Both,Classroom,Yes,Abroad,Job Security,Lawyer,Commerce-73%,BA Political Science,Public Policy Analyst,Tier-2,0.8
S00574,"Computer Science, Chemistry","Drawing, Solving Puzzles","Presentation, Design Thinking",Theoretical,Corporate Office,Yes,India,Job Security,Scientist,Science-64%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.8
S00575,"Physics, Maths","Coding, Solving Puzzles","Analysis, Problem Solving",Theoretical,Classroom,Yes,India,Job Security,Designer,Science-97%,B.Tech CSE,Software Engineer,Tier-1,0.94
S00576,"Political Science, Psychology","Debating, Helping Others","Teamwork, Financial Analysis",Theoretical,Research Lab,Maybe,Flexible,Creativity & Freedom,Data Scientist,Science-95%,BFA,Artist/Designer,Tier-2,0.95
S00577,"Chemistry, Biology","Drawing, Reading","Design Thinking, Leadership",Both,Government Office,Maybe,Abroad,Creativity & Freedom,Civil Servant,Commerce-92%,Diploma in IT,IT Support/Technician,Tier-2,0.93
S00578,"Design, Fine Arts","Research, Designing","Presentation, Design Thinking",Theoretical,Classroom,Maybe,India,Creativity & Freedom,Artist,Science-89%,BFA,Artist/Designer,Tier-2,0.93
S00579,"Political Science, History","Reading, Research","Problem Solving, Leadership",Practical,Creative Studio,Maybe,Flexible,Creativity & Freedom,Manager,Arts-84%,BA History,Researcher/Archivist,Tier-2,0.94
S00580,"Computer Science, Physics","Research, Drawing","Programming, Creativity",Both,Government Office,No,Abroad,Job Security,Teacher,Science-52%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.66
S00581,"Maths, Computer Science","Sports, Research","Teamwork, Problem Solving",Practical,Classroom,Yes,India,Creativity & Freedom,Engineer,Commerce-53%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.74
S00582,"Biology, Physics","Solving Puzzles, Public Speaking","Financial Analysis, Leadership",Both,NGO,Yes,Abroad,Creativity & Freedom,Entrepreneur,Science-51%,Diploma in IT,IT Support/Technician,Tier-2,0.67
S00583,"Biology, Chemistry","Drawing, Sports","Problem Solving, Financial Analysis",Theoretical,Research Lab,No,Abroad,Job Security,Artist,Commerce-88%,Diploma in Design,Junior Designer,Tier-2,0.92
S00584,"Computer Science, Physics","Coding, Research","Writing, Research",Practical,Corporate Office,Yes,Abroad,Job Security,Artist,Science-65%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.75
S00585,"Physics, Maths","Reading, Sports","Financial Analysis, Creativity",Practical,Startup,Maybe,India,Balanced,Entrepreneur,Science-82%,B.Tech CSE,Software Engineer,Tier-2,0.92
S00586,"Chemistry, Computer Science","Coding, Reading","Creativity, Leadership",Practical,Startup,No,Abroad,Job Security,Doctor,Science-70%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00587,"Physics, Maths","Research, Coding","Creativity, Leadership",Theoretical,Creative Studio,Maybe,Abroad,Job Security,Designer,Arts-76%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.83
S00588,"Maths, Biology","Helping Others, Designing","Analysis, Financial Analysis",Both,NGO,Yes,Abroad,Job Security,Data Scientist,Arts-68%,B.Tech Civil,Civil Engineer,Tier-2,0.81
S00589,"Computer Science, Economics","Experiments, Coding","Design Thinking, Programming",Practical,Creative Studio,Yes,Flexible,Creativity & Freedom,Artist,Commerce-48%,BBA,Business Analyst,Tier-2,0.68
S00590,"Chemistry, Biology","Debating, Sports","Problem Solving, Leadership",Both,NGO,Maybe,Abroad,Job Security,Teacher,Science-98%,Diploma in IT,IT Support/Technician,Tier-2,0.99
S00591,"Fine Arts, History","Debating, Designing","Presentation, Analysis",Theoretical,Outdoors,Yes,Flexible,Job Security,Manager,Vocational-83%,BA History,Researcher/Archivist,Tier-2,0.91
S00592,"Maths, Chemistry","Experiments, Sports","Problem Solving, Creativity",Theoretical,Startup,Yes,India,Balanced,Entrepreneur,Arts-48%,Diploma in IT,IT Support/Technician,Tier-2,0.66
S00593,"Business Studies, Computer Science","Organizing Events, Solving Puzzles","Teamwork, Presentation",Theoretical,Creative Studio,Yes,Flexible,Job Security,Artist,Science-88%,B.Tech ECE,Embedded Systems Engineer,Tier-1,0.91
S00594,"Business Studies, Accountancy","Public Speaking, Organizing Events","Research, Creativity",Theoretical,Classroom,No,India,Creativity & Freedom,Civil Servant,Science-89%,BBA (Finance),Investment Analyst,Tier-1,0.96
S00595,"Design, History","Drawing, Reading","Teamwork, Creativity",Theoretical,Research Lab,Maybe,Flexible,Job Security,Teacher,Science-69%,BFA,Artist/Designer,Tier-2,0.79
S00596,"Maths, Economics","Sports, Helping Others","Presentation, Research",Practical,Research Lab,Yes,India,Job Security,Designer,Commerce-68%,B.Tech Civil,Civil Engineer,Tier-2,0.8
S00597,"Biology, Maths","Coding, Experiments","Writing, Financial Analysis",Both,Startup,No,India,Job Security,Scientist,Arts-50%,Diploma in Design,Junior Designer,Tier-2,0.73
S00598,"Fine Arts, Design","Sports, Research","Analysis, Presentation",Practical,Classroom,No,Flexible,Job Security,Artist,Science-73%,BA Economics,Economist/Analyst,Tier-2,0.86
S00599,"Accountancy, Maths","Helping Others, Public Speaking","Leadership, Design Thinking",Both,Research Lab,Yes,India,Job Security,Manager,Commerce-69%,B.Tech Civil,Civil Engineer,Tier-2,0.83
S00600,"History, Political Science","Reading, Reading","Communication, Teamwork",Theoretical,Creative Studio,Maybe,Flexible,Balanced,Scientist,Commerce-91%,BFA,Artist/Designer,Tier-2,0.97
S00601,"History, Psychology","Sports, Organizing Events","Analysis, Communication",Theoretical,Outdoors,Maybe,Abroad,Balanced,Teacher,Science-60%,BFA,Artist/Designer,Tier-2,0.71
S00602,"Biology, Computer Science","Organizing Events, Research","Teamwork, Communication",Practical,Government Office,Yes,Flexible,Job Security,Artist,Science-82%,B.Tech CSE,Software Engineer,Tier-2,0.89
S00603,"Political Science, Psychology","Coding, Solving Puzzles","Programming, Analysis",Practical,Creative Studio,No,Abroad,Balanced,Data Scientist,Science-90%,BA History,Researcher/Archivist,Tier-2,0.9
S00604,"Physics, Maths","Solving Puzzles, Designing","Problem Solving, Research",Theoretical,NGO,Maybe,India,Job Security,Doctor,Science-50%,Diploma in IT,IT Support/Technician,Tier-2,0.66
S00605,"Economics, Maths","Organizing Events, Public Speaking","Analysis, Research",Theoretical,Government Office,Maybe,Abroad,Creativity & Freedom,Lawyer,Commerce-66%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.83
S00606,"Design, Psychology","Organizing Events, Coding","Presentation, Financial Analysis",Practical,Corporate Office,No,Flexible,Creativity & Freedom,Entrepreneur,Science-57%,BA Psychology,Counselor/HR,Tier-2,0.72
S00607,"Business Studies, Accountancy","Experiments, Organizing Events","Financial Analysis, Presentation",Theoretical,Classroom,Maybe,India,Job Security,Manager,Vocational-60%,B.Com,Accountant,Tier-2,0.77
S00608,"Fine Arts, Design","Debating, Organizing Events","Research, Teamwork",Both,Startup,No,Abroad,Creativity & Freedom,Manager,Arts-46%,BFA,Artist/Designer,Tier-2,0.66
S00609,"Chemistry, Physics","Helping Others, Experiments","Creativity, Writing",Both,NGO,Yes,Abroad,Job Security,Civil Servant,Commerce-60%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.73
S00610,"History, Psychology","Reading, Research","Problem Solving, Communication",Theoretical,Classroom,No,India,Balanced,Teacher,Commerce-87%,BA Economics,Economist/Analyst,Tier-2,0.94
S00611,"Design, History","Drawing, Research","Analysis, Leadership",Both,Startup,Maybe,Abroad,Creativity & Freedom,Scientist,Commerce-95%,BA Psychology,Counselor/HR,Tier-2,0.99
S00612,"Chemistry, Computer Science","Public Speaking, Drawing","Writing, Creativity",Practical,Startup,No,Flexible,Balanced,Artist,Commerce-52%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.67
S00613,"Biology, Physics","Organizing Events, Coding","Design Thinking, Programming",Practical,Classroom,No,Abroad,Creativity & Freedom,Manager,Arts-48%,Diploma in Design,Junior Designer,Tier-2,0.65
S00614,"Biology, Maths","Helping Others, Solving Puzzles","Writing, Problem Solving",Practical,NGO,Maybe,Abroad,Job Security,Data Scientist,Science-97%,B.Tech CSE,Software Engineer,Tier-2,0.99
S00615,"History, Fine Arts","Helping Others, Public Speaking","Presentation, Creativity",Theoretical,NGO,Maybe,India,Creativity & Freedom,Teacher,Commerce-69%,BA Economics,Economist/Analyst,Tier-2,0.86
S00616,"Chemistry, Computer Science","Drawing, Experiments","Problem Solving, Programming",Practical,NGO,Maybe,Abroad,Creativity & Freedom,Manager,Arts-50%,Diploma in IT,IT Support/Technician,Tier-2,0.7
S00617,"Biology, Maths","Coding, Reading","Creativity, Programming",Both,Creative Studio,No,Flexible,Job Security,Designer,Science-58%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.77
S00618,"Economics, Accountancy","Experiments, Sports","Communication, Design Thinking",Practical,NGO,Maybe,Abroad,Creativity & Freedom,Entrepreneur,Science-97%,BBA,Business Analyst,Tier-1,0.99
S00619,"Computer Science, Physics","Helping Others, Reading","Teamwork, Financial Analysis",Practical,Corporate Office,Yes,Abroad,Creativity & Freedom,Entrepreneur,Arts-47%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.69
S00620,"Design, Political Science","Coding, Drawing","Research, Programming",Theoretical,Creative Studio,Maybe,Flexible,Job Security,Manager,Commerce-94%,BA Economics,Economist/Analyst,Tier-2,0.99
S00621,"Design, Fine Arts","Sports, Reading","Research, Analysis",Practical,Startup,Yes,India,Job Security,Civil Servant,Commerce-77%,BA History,Researcher/Archivist,Tier-2,0.81
S00622,"Computer Science, Maths","Public Speaking, Research","Presentation, Creativity",Both,Research Lab,No,Abroad,Balanced,Scientist,Science-58%,Diploma in IT,IT Support/Technician,Tier-2,0.73
S00623,"Computer Science, Business Studies","Coding, Coding","Teamwork, Programming",Both,NGO,Yes,Flexible,Balanced,Designer,Commerce-95%,B.Tech CSE,Software Engineer,Tier-1,0.99
S00624,"Political Science, History","Solving Puzzles, Designing","Design Thinking, Presentation",Practical,Corporate Office,Maybe,Abroad,Creativity & Freedom,Engineer,Science-86%,BA History,Researcher/Archivist,Tier-2,0.93
S00625,"Maths, Physics","Solving Puzzles, Drawing","Programming, Writing",Theoretical,Research Lab,No,Flexible,Job Security,Artist,Science-83%,B.Tech CSE,Software Engineer,Tier-2,0.94
S00626,"Computer Science, Biology","Helping Others, Organizing Events","Research, Presentation",Theoretical,Government Office,Maybe,Flexible,Balanced,Artist,Commerce-87%,B.Tech CSE,Software Engineer,Tier-2,0.9
S00627,"Maths, Chemistry","Helping Others, Organizing Events","Programming, Leadership",Both,Government Office,No,India,Balanced,Data Scientist,Science-85%,B.Tech CSE,Software Engineer,Tier-2,0.89
S00628,"Chemistry, Biology","Experiments, Drawing","Writing, Financial Analysis",Theoretical,Research Lab,Maybe,India,Job Security,Manager,Commerce-85%,Diploma in Design,Junior Designer,Tier-2,0.93
S00629,"Computer Science, Business Studies","Solving Puzzles, Helping Others","Analysis, Programming",Theoretical,Classroom,Yes,Flexible,Job Security,Engineer,Science-84%,B.Tech CSE,Software Engineer,Tier-2,0.86
S00630,"Economics, Accountancy","Sports, Drawing","Analysis, Presentation",Theoretical,Research Lab,Yes,Abroad,Job Security,Engineer,Science-64%,BBA (Finance),Investment Analyst,Tier-2,0.83
S00631,"History, Political Science","Public Speaking, Research","Writing, Design Thinking",Theoretical,Startup,Maybe,Abroad,Balanced,Data Scientist,Arts-75%,BA Political Science,Public Policy Analyst,Tier-2,0.86
S00632,"Political Science, Fine Arts","Drawing, Reading","Communication, Analysis",Both,Classroom,No,Flexible,Job Security,Teacher,Science-82%,BA History,Researcher/Archivist,Tier-2,0.91
S00633,"Computer Science, Maths","Drawing, Experiments","Presentation, Financial Analysis",Theoretical,Outdoors,Maybe,Flexible,Creativity & Freedom,Civil Servant,Science-72%,B.Tech Civil,Civil Engineer,Tier-2,0.83
S00634,"Biology, Chemistry","Helping Others, Sports","Creativity, Writing",Theoretical,Government Office,Yes,Flexible,Job Security,Engineer,Commerce-50%,Diploma in Design,Junior Designer,Tier-2,0.71
S00635,"Maths, Biology","Coding, Reading","Financial Analysis, Programming",Both,Research Lab,No,Abroad,Balanced,Manager,Vocational-74%,B.Tech CSE,Software Engineer,Tier-2,0.86
S00636,"Computer Science, Chemistry","Coding, Research","Teamwork, Presentation",Both,Government Office,Yes,Flexible,Balanced,Designer,Commerce-47%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.73
S00637,"Computer Science, Business Studies","Designing, Solving Puzzles","Presentation, Writing",Both,Government Office,Yes,Abroad,Creativity & Freedom,Scientist,Science-57%,B.Com (Hons),Financial Analyst,Tier-2,0.78
S00638,"Computer Science, Physics","Organizing Events, Helping Others","Research, Writing",Theoretical,Outdoors,Yes,Flexible,Balanced,Data Scientist,Science-69%,B.Tech IT,IT Engineer,Tier-2,0.85
S00639,"Biology, Computer Science","Drawing, Designing","Problem Solving, Analysis",Theoretical,Creative Studio,No,India,Job Security,Lawyer,Arts-51%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.69
S00640,"Biology, Chemistry","Drawing, Public Speaking","Programming, Communication",Theoretical,Startup,No,India,Job Security,Manager,Science-80%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.87
S00641,"Chemistry, Maths","Debating, Experiments","Financial Analysis, Problem Solving",Theoretical,Research Lab,Yes,Abroad,Balanced,Scientist,Science-95%,B.Tech CSE,Software Engineer,Tier-1,0.94
S00642,"Physics, Chemistry","Coding, Reading","Presentation, Analysis",Practical,Research Lab,Maybe,India,Creativity & Freedom,Manager,Vocational-47%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.68
S00643,"Chemistry, Maths","Coding, Public Speaking","Presentation, Analysis",Theoretical,Research Lab,Yes,India,Job Security,Entrepreneur,Science-82%,B.Tech CSE,Software Engineer,Tier-2,0.92
S00644,"Maths, Biology","Coding, Reading","Research, Writing",Theoretical,NGO,Yes,Abroad,Job Security,Data Scientist,Science-82%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.87
S00645,"Fine Arts, Political Science","Sports, Designing","Teamwork, Leadership",Theoretical,Startup,Maybe,Flexible,Balanced,Data Scientist,Science-87%,BA History,Researcher/Archivist,Tier-2,0.89
S00646,"Physics, Maths","Reading, Experiments","Communication, Teamwork",Practical,Outdoors,Yes,India,Creativity & Freedom,Scientist,Commerce-89%,B.Tech ECE,Embedded Systems Engineer,Tier-1,0.93
S00647,"Biology, Physics","Organizing Events, Drawing","Writing, Analysis",Theoretical,Government Office,Maybe,Abroad,Job Security,Lawyer,Arts-51%,Diploma in IT,IT Support/Technician,Tier-2,0.66
S00648,"Accountancy, Business Studies","Helping Others, Experiments","Writing, Design Thinking",Practical,Classroom,Yes,Abroad,Creativity & Freedom,Lawyer,Science-57%,B.Com,Accountant,Tier-2,0.76
S00649,"Business Studies, Accountancy","Designing, Research","Design Thinking, Analysis",Both,Government Office,Yes,Flexible,Creativity & Freedom,Artist,Commerce-50%,B.Com,Accountant,Tier-2,0.66
S00650,"Economics, Computer Science","Reading, Reading","Leadership, Presentation",Theoretical,Startup,Yes,Flexible,Balanced,Lawyer,Science-80%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.88
S00651,"Chemistry, Computer Science","Solving Puzzles, Public Speaking","Presentation, Writing",Both,Government Office,No,Abroad,Balanced,Engineer,Arts-44%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.66
S00652,"Psychology, History","Solving Puzzles, Organizing Events","Writing, Communication",Theoretical,Corporate Office,Maybe,India,Balanced,Artist,Commerce-70%,BFA,Artist/Designer,Tier-2,0.84
S00653,"History, Political Science","Experiments, Drawing","Programming, Teamwork",Both,Classroom,No,Flexible,Creativity & Freedom,Artist,Science-60%,BA Psychology,Counselor/HR,Tier-2,0.73
S00654,"Computer Science, Maths","Public Speaking, Helping Others","Problem Solving, Leadership",Theoretical,Creative Studio,Maybe,India,Job Security,Artist,Science-65%,B.Tech CSE,Software Engineer,Tier-2,0.77
S00655,"Accountancy, Business Studies","Helping Others, Public Speaking","Problem Solving, Financial Analysis",Practical,Outdoors,Maybe,India,Job Security,Manager,Science-88%,B.Com (Hons),Financial Analyst,Tier-1,0.91
S00656,"Psychology, Fine Arts","Research, Solving Puzzles","Teamwork, Design Thinking",Theoretical,Government Office,Yes,Flexible,Job Security,Lawyer,Science-67%,BA History,Researcher/Archivist,Tier-2,0.78
S00657,"Computer Science, Physics","Coding, Sports","Writing, Problem Solving",Both,Outdoors,No,India,Creativity & Freedom,Teacher,Science-90%,B.Tech CSE,Software Engineer,Tier-2,0.97
S00658,"Chemistry, Biology","Designing, Solving Puzzles","Research, Creativity",Theoretical,Research Lab,No,India,Job Security,Artist,Commerce-91%,Diploma in Design,Junior Designer,Tier-2,0.96
S00659,"Chemistry, Computer Science","Coding, Sports","Design Thinking, Leadership",Practical,Research Lab,Yes,Abroad,Job Security,Civil Servant,Arts-65%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00660,"Physics, Computer Science","Coding, Reading","Problem Solving, Creativity",Practical,Corporate Office,Yes,India,Job Security,Teacher,Science-90%,B.Tech CSE,Software Engineer,Tier-1,0.95
S00661,"History, Psychology","Public Speaking, Research","Analysis, Creativity",Practical,Research Lab,No,Flexible,Creativity & Freedom,Entrepreneur,Science-80%,BA History,Researcher/Archivist,Tier-2,0.85
S00662,"Accountancy, Economics","Coding, Public Speaking","Problem Solving, Creativity",Both,Creative Studio,Yes,Flexible,Creativity & Freedom,Entrepreneur,Science-64%,B.Com,Accountant,Tier-2,0.76
S00663,"Maths, Computer Science","Experiments, Experiments","Analysis, Financial Analysis",Theoretical,Startup,No,India,Job Security,Artist,Science-68%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.77
S00664,"Maths, Physics","Drawing, Organizing Events","Communication, Analysis",Theoretical,Government Office,Maybe,India,Balanced,Scientist,Science-92%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.96
S00665,"Physics, Maths","Research, Sports","Analysis, Writing",Both,Startup,Yes,India,Balanced,Entrepreneur,Science-74%,B.Tech Civil,Civil Engineer,Tier-2,0.87
S00666,"Design, History","Drawing, Organizing Events","Teamwork, Presentation",Theoretical,Research Lab,Yes,Abroad,Job Security,Entrepreneur,Arts-62%,BA Political Science,Public Policy Analyst,Tier-2,0.77
S00667,"Biology, Maths","Helping Others, Coding","Financial Analysis, Leadership",Theoretical,Classroom,Maybe,Abroad,Balanced,Designer,Science-84%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.89
S00668,"Maths, Business Studies","Solving Puzzles, Experiments","Analysis, Problem Solving",Practical,Corporate Office,No,Flexible,Creativity & Freedom,Entrepreneur,Arts-43%,B.Com (Hons),Financial Analyst,Tier-2,0.64
S00669,"Political Science, Fine Arts","Experiments, Solving Puzzles","Creativity, Programming",Theoretical,Outdoors,Yes,India,Job Security,Entrepreneur,Science-94%,BA History,Researcher/Archivist,Tier-2,0.95
S00670,"Biology, Maths","Drawing, Research","Creativity, Financial Analysis",Both,Startup,No,Flexible,Job Security,Doctor,Science-59%,Diploma in IT,IT Support/Technician,Tier-2,0.73
S00671,"Biology, Chemistry","Solving Puzzles, Experiments","Presentation, Communication",Both,Creative Studio,No,Abroad,Balanced,Lawyer,Science-91%,Diploma in IT,IT Support/Technician,Tier-2,0.92
S00672,"Physics, Chemistry","Designing, Coding","Programming, Problem Solving",Both,NGO,Maybe,Flexible,Creativity & Freedom,Data Scientist,Commerce-90%,B.Tech CSE,Software Engineer,Tier-2,0.98
S00673,"Physics, Biology","Helping Others, Research","Leadership, Teamwork",Both,Corporate Office,Yes,Abroad,Job Security,Designer,Commerce-49%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.69
S00674,"Maths, Computer Science","Designing, Coding","Presentation, Problem Solving",Practical,Creative Studio,Yes,India,Job Security,Lawyer,Commerce-66%,B.Tech CSE,Software Engineer,Tier-2,0.75
S00675,"Computer Science, Physics","Solving Puzzles, Debating","Design Thinking, Problem Solving",Theoretical,Outdoors,Maybe,India,Balanced,Doctor,Science-55%,Diploma in IT,IT Support/Technician,Tier-2,0.74
S00676,"History, Psychology","Designing, Drawing","Writing, Problem Solving",Theoretical,Creative Studio,No,Flexible,Job Security,Lawyer,Arts-86%,BA Political Science,Public Policy Analyst,Tier-2,0.96
S00677,"Economics, Accountancy","Reading, Research","Programming, Creativity",Both,Research Lab,Yes,Flexible,Creativity & Freedom,Civil Servant,Commerce-47%,B.Com (Hons),Financial Analyst,Tier-2,0.65
S00678,"Economics, Computer Science","Experiments, Reading","Programming, Financial Analysis",Both,Research Lab,Maybe,India,Balanced,Designer,Vocational-78%,B.Tech CSE,Software Engineer,Tier-2,0.88
S00679,"Fine Arts, Design","Drawing, Solving Puzzles","Analysis, Writing",Theoretical,Classroom,Yes,Flexible,Balanced,Scientist,Science-89%,BA Psychology,Counselor/HR,Tier-2,0.89
S00680,"Biology, Physics","Coding, Solving Puzzles","Programming, Problem Solving",Theoretical,Startup,No,India,Creativity & Freedom,Lawyer,Science-68%,BFA,Artist/Designer,Tier-2,0.79
S00681,"Physics, Computer Science","Designing, Research","Analysis, Programming",Theoretical,Creative Studio,No,Flexible,Job Security,Engineer,Vocational-71%,B.Tech CSE,Software Engineer,Tier-2,0.78
S00682,"Design, Psychology","Designing, Organizing Events","Financial Analysis, Communication",Theoretical,Government Office,Maybe,Flexible,Creativity & Freedom,Lawyer,Science-76%,BA Psychology,Counselor/HR,Tier-2,0.85
S00683,"History, Psychology","Research, Drawing","Leadership, Programming",Practical,Research Lab,Yes,Abroad,Creativity & Freedom,Entrepreneur,Commerce-49%,BA History,Researcher/Archivist,Tier-2,0.68
S00684,"Physics, Maths","Experiments, Experiments","Financial Analysis, Programming",Theoretical,Startup,Yes,India,Balanced,Engineer,Arts-65%,B.Tech CSE,Software Engineer,Tier-2,0.82
S00685,"Maths, Physics","Sports, Designing","Design Thinking, Teamwork",Both,NGO,Yes,Abroad,Creativity & Freedom,Doctor,Commerce-75%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.83
S00686,"Computer Science, Biology","Drawing, Experiments","Programming, Analysis",Theoretical,NGO,Yes,India,Job Security,Doctor,Vocational-83%,B.Tech CSE,Software Engineer,Tier-2,0.89
S00687,"Chemistry, Physics","Helping Others, Drawing","Writing, Teamwork",Practical,Creative Studio,Maybe,Abroad,Creativity & Freedom,Designer,Science-66%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.76
S00688,"Fine Arts, Psychology","Solving Puzzles, Debating","Analysis, Teamwork",Theoretical,NGO,Maybe,Flexible,Job Security,Scientist,Science-94%,BA Psychology,Counselor/HR,Tier-2,0.95
S00689,"Computer Science, Chemistry","Solving Puzzles, Research","Financial Analysis, Design Thinking",Both,Research Lab,No,Flexible,Balanced,Lawyer,Science-79%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.87
S00690,"Biology, Maths","Coding, Experiments","Problem Solving, Analysis",Practical,NGO,Maybe,Flexible,Job Security,Doctor,Science-62%,B.Tech CSE,Software Engineer,Tier-2,0.76
S00691,"Business Studies, Maths","Reading, Research","Leadership, Analysis",Both,Corporate Office,No,Abroad,Job Security,Teacher,Arts-72%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00692,"Maths, Computer Science","Solving Puzzles, Designing","Presentation, Problem Solving",Both,Government Office,Yes,India,Creativity & Freedom,Scientist,Science-85%,B.Tech CSE,Software Engineer,Tier-1,0.91
S00693,"Biology, Maths","Debating, Drawing","Programming, Problem Solving",Practical,Startup,Maybe,India,Balanced,Scientist,Science-97%,B.Tech CSE,Software Engineer,Tier-2,0.99
S00694,"History, Design","Public Speaking, Organizing Events","Design Thinking, Problem Solving",Both,Creative Studio,No,India,Job Security,Civil Servant,Commerce-52%,BA History,Researcher/Archivist,Tier-2,0.75
S00695,"Fine Arts, Design","Reading, Designing","Financial Analysis, Presentation",Both,Classroom,Yes,Abroad,Job Security,Designer,Science-92%,BA Political Science,Public Policy Analyst,Tier-2,0.93
S00696,"Design, Political Science","Coding, Reading","Creativity, Problem Solving",Practical,Research Lab,No,Flexible,Balanced,Data Scientist,Science-60%,BA Psychology,Counselor/HR,Tier-2,0.81
S00697,"Biology, Chemistry","Organizing Events, Sports","Teamwork, Problem Solving",Both,Classroom,Yes,Flexible,Creativity & Freedom,Entrepreneur,Science-70%,Diploma in Design,Junior Designer,Tier-2,0.81
S00698,"Chemistry, Physics","Coding, Solving Puzzles","Programming, Financial Analysis",Theoretical,Research Lab,No,India,Job Security,Engineer,Science-50%,Diploma in Design,Junior Designer,Tier-2,0.65
S00699,"Economics, Maths","Coding, Helping Others","Research, Financial Analysis",Both,Government Office,Yes,India,Balanced,Artist,Science-84%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.93
S00700,"Design, Fine Arts","Sports, Coding","Programming, Communication",Practical,Corporate Office,Maybe,Flexible,Job Security,Engineer,Science-88%,BA Economics,Economist/Analyst,Tier-2,0.89
S00701,"Chemistry, Physics","Solving Puzzles, Experiments","Analysis, Leadership",Theoretical,Startup,No,India,Creativity & Freedom,Engineer,Science-90%,B.Tech CSE,Software Engineer,Tier-2,0.93
S00702,"Design, Political Science","Solving Puzzles, Helping Others","Problem Solving, Communication",Both,Corporate Office,Yes,Abroad,Creativity & Freedom,Civil Servant,Vocational-78%,BA Psychology,Counselor/HR,Tier-2,0.82
S00703,"Accountancy, Economics","Debating, Organizing Events","Problem Solving, Programming",Practical,Research Lab,Yes,Abroad,Job Security,Artist,Science-58%,BBA,Business Analyst,Tier-2,0.71
S00704,"Business Studies, Accountancy","Helping Others, Experiments","Leadership, Creativity",Theoretical,Creative Studio,No,Flexible,Creativity & Freedom,Scientist,Commerce-70%,BBA,Business Analyst,Tier-1,0.8
S00705,"Maths, Biology","Debating, Organizing Events","Programming, Analysis",Both,Creative Studio,Yes,India,Balanced,Civil Servant,Science-78%,B.Tech CSE,Software Engineer,Tier-2,0.86
S00706,"Accountancy, Economics","Organizing Events, Reading","Teamwork, Leadership",Both,Government Office,No,Flexible,Job Security,Civil Servant,Science-52%,B.Com (Hons),Financial Analyst,Tier-2,0.72
